transaction_id,transaction_date,customer_id,product_id,branch_id,channel,quantity,unit_price,discount_percentage,gross_revenue,net_revenue,cost,gross_margin,payment_status,campaign_id,has_campaign,product_name,category,standard_price,cost_price,margin_percentage,active_status,customer_type,segment,acquisition_channel,customer_since,location_category,customer_attribute,attribute_type,campaign_name,campaign_start_date,campaign_end_date,offer_type,campaign_cost,transaction_year,transaction_month,transaction_year_month,discount_band,customer_tenure_days,margin_percentage_tx
TXN038637,1/1/2024,C01401,P0032,BR02,Online,4,13.38,20,53.52,42.82,33.28,9.54,Paid,No Campaign,FALSE,Essential Denim Jacket,Apparel,13.91,8.32,40.19,Active,SME,Standard,Online,9/2/2022,Suburban,Small (1-10),business_size,No Campaign,,,No offer,,2024,1,2024-01,16-20%,486,22.28
TXN024674,1/1/2024,C00337,P0020,BR02,Branch,3,49.99,15,149.97,127.47,96.69,30.78,Paid,No Campaign,FALSE,Everyday Denim Jacket,Apparel,49.69,32.23,35.14,Active,Individual,Budget,Online,8/3/2023,Suburban,56-65,age_band,No Campaign,,,No offer,,2024,1,2024-01,11-15%,151,24.15
TXN038890,1/1/2024,C00023,P0079,BR04,Dealer,2,241.03,5,482.06,457.96,268.94,189.02,Paid,No Campaign,FALSE,Classic Laptop Stand,Electronics,240.01,134.47,43.97,Active,SME,Standard,Online,1/1/2024,Suburban,Medium (11-50),business_size,No Campaign,,,No offer,,2024,1,2024-01,1-5%,0,41.27
TXN008062,1/1/2024,C00256,P0029,BR03,Branch,7,112.19,0,785.33,785.33,758.24,27.09,Paid,No Campaign,FALSE,Lite Cycling Gloves,Sports & Outdoors,114.03,108.32,5.01,Active,Individual,Standard,Online,4/4/2022,Urban,18-25,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,637,3.45
TXN017195,1/1/2024,C00018,P0020,BR01,Branch,4,51.59,15,206.36,175.41,128.92,46.49,Overdue,No Campaign,FALSE,Everyday Denim Jacket,Apparel,49.69,32.23,35.14,Active,SME,Standard,Online,1/1/2024,Other,Medium (11-50),business_size,No Campaign,,,No offer,,2024,1,2024-01,11-15%,0,26.5
TXN016839,1/1/2024,C01784,P0088,BR03,Online,1,69.61,0,69.61,69.61,34.86,34.75,Paid,No Campaign,FALSE,Signature Lip Balm Set,Beauty & Personal Care,72.86,34.86,52.15,Active,Individual,Premium,Sales Team,1/1/2024,Urban,18-25,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,0,49.92
TXN025812,1/1/2024,C00449,P0037,BR07,Online,2,424.9,10,849.8,764.82,474.12,290.7,Paid,No Campaign,FALSE,Essential Tablet Sleeve,Electronics,447.2,237.06,46.99,Active,Individual,Standard,Walk-in,1/1/2024,Urban,18-25,age_band,No Campaign,,,No offer,,2024,1,2024-01,6-10%,0,38.01
TXN025863,1/1/2024,C01902,P0099,BR06,Direct Sales,1,238,0,238,238,158.37,79.63,Paid,No Campaign,FALSE,Pro Cutlery Set,Home & Living,241.48,158.37,34.42,Active,SME,Budget,Walk-in,4/30/2023,Suburban,Small (1-10),business_size,No Campaign,,,No offer,,2024,1,2024-01,0%,246,33.46
TXN018328,1/1/2024,C01444,P0020,BR07,Partner,4,48.2,15,192.8,163.88,128.92,34.96,Paid,No Campaign,FALSE,Everyday Denim Jacket,Apparel,49.69,32.23,35.14,Active,Individual,Premium,Online,12/27/2023,Suburban,26-35,age_band,No Campaign,,,No offer,,2024,1,2024-01,11-15%,5,21.33
TXN023525,1/1/2024,C01044,P0004,BR02,Online,4,78.21,20.61,312.84,248.36,220.32,28.04,Paid,No Campaign,FALSE,Ultra Lip Balm Set,Beauty & Personal Care,79.04,55.08,30.31,Active,Individual,Budget,Referral,1/1/2024,Suburban,36-45,age_band,No Campaign,,,No offer,,2024,1,2024-01,20%+,0,11.29
TXN032017,1/1/2024,C00736,P0019,BR03,Online,4,811.93,0,3247.72,3247.72,1610.32,1637.4,Paid,No Campaign,FALSE,Pro Webcam,Electronics,773.93,402.58,47.98,Active,SME,Standard,Referral,4/29/2023,Suburban,Medium (11-50),business_size,No Campaign,,,No offer,,2024,1,2024-01,0%,247,50.42
TXN007451,1/1/2024,C00753,P0082,BR07,Direct Sales,3,98.07,15,294.21,250.08,198.72,51.36,Paid,No Campaign,FALSE,Basic Hair Serum,Beauty & Personal Care,102.58,66.24,35.43,Active,SME,Premium,Referral,6/24/2022,Urban,Enterprise (200+),business_size,No Campaign,,,No offer,,2024,1,2024-01,11-15%,556,20.54
TXN035969,1/1/2024,C01435,P0088,BR05,Online,2,74.97,20,149.94,119.95,69.72,50.23,Paid,No Campaign,FALSE,Signature Lip Balm Set,Beauty & Personal Care,72.86,34.86,52.15,Active,Individual,Standard,Sales Team,2/20/2022,Urban,56-65,age_band,No Campaign,,,No offer,,2024,1,2024-01,16-20%,680,41.88
TXN012461,1/1/2024,C01410,P0046,BR02,Online,4,103.69,5,414.76,394.02,308.6,85.42,Paid,No Campaign,FALSE,Prime Shampoo,Beauty & Personal Care,107.44,77.15,28.19,Active,Individual,Standard,Referral,6/25/2023,Urban,36-45,age_band,No Campaign,,,No offer,,2024,1,2024-01,1-5%,190,21.68
TXN036138,1/1/2024,C00335,P0015,BR07,Direct Sales,5,193.19,20,965.95,772.76,594.8,177.96,Paid,No Campaign,FALSE,Lite Ceramic Mug Set,Home & Living,191.68,118.96,37.94,Active,Individual,Standard,Referral,1/1/2024,Urban,46-55,age_band,No Campaign,,,No offer,,2024,1,2024-01,16-20%,0,23.03
TXN019902,1/1/2024,C00864,P0086,BR04,Branch,1,27.78,20,27.78,22.22,20.29,1.93,Paid,No Campaign,FALSE,Basic Denim Jacket,Apparel,27.51,20.29,26.25,Active,Individual,Premium,Walk-in,3/15/2023,Suburban,65+,age_band,No Campaign,,,No offer,,2024,1,2024-01,16-20%,292,8.69
TXN019836,1/1/2024,C01197,P0020,BR01,Branch,3,51.37,10,154.11,138.7,96.69,42.01,Paid,No Campaign,FALSE,Everyday Denim Jacket,Apparel,49.69,32.23,35.14,Active,SME,Budget,Online,1/1/2024,Suburban,Enterprise (200+),business_size,No Campaign,,,No offer,,2024,1,2024-01,6-10%,0,30.29
TXN045379,1/1/2024,C01385,P0035,BR04,Online,1,342.51,0,342.51,342.51,199.76,142.75,Paid,No Campaign,FALSE,Advanced Camping Tent,Sports & Outdoors,335.91,199.76,40.53,Active,Individual,Premium,Online,7/20/2023,Urban,26-35,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,165,41.68
TXN045367,1/1/2024,C00433,P0015,BR07,Online,3,187.66,0,562.98,562.98,356.88,206.1,Paid,No Campaign,FALSE,Lite Ceramic Mug Set,Home & Living,191.68,118.96,37.94,Active,Individual,Budget,Referral,1/1/2024,Urban,56-65,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,0,36.61
TXN021348,1/1/2024,C01153,P0044,BR05,Direct Sales,3,44.9,5,134.7,127.96,97.23,30.73,Paid,No Campaign,FALSE,Lite Denim Jacket,Apparel,44.35,32.41,26.92,Active,Individual,Budget,Referral,1/1/2024,Other,26-35,age_band,No Campaign,,,No offer,,2024,1,2024-01,1-5%,0,24.02
TXN029732,1/1/2024,C00966,P0079,BR04,Dealer,1,249.23,0,249.23,249.23,134.47,114.76,Paid,No Campaign,FALSE,Classic Laptop Stand,Electronics,240.01,134.47,43.97,Active,Individual,New,Walk-in,10/13/2023,Urban,36-45,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,80,46.05
TXN019331,1/1/2024,C01531,P0037,BR05,Partner,6,445.29,0,2671.74,2671.74,1422.36,1249.38,Paid,No Campaign,FALSE,Essential Tablet Sleeve,Electronics,447.2,237.06,46.99,Active,Individual,Standard,Referral,2/19/2022,Other,56-65,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,681,46.76
TXN045065,1/1/2024,C01088,P0020,BR07,Dealer,2,52.06,0,104.12,104.12,64.46,39.66,Pending,No Campaign,FALSE,Everyday Denim Jacket,Apparel,49.69,32.23,35.14,Active,Individual,Budget,Walk-in,1/1/2024,Urban,26-35,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,0,38.09
TXN007057,1/1/2024,C01930,P0032,BR02,Online,3,14.49,10,43.47,39.12,24.96,14.16,Pending,No Campaign,FALSE,Essential Denim Jacket,Apparel,13.91,8.32,40.19,Active,Individual,New,Walk-in,7/3/2023,Urban,65+,age_band,No Campaign,,,No offer,,2024,1,2024-01,6-10%,182,36.2
TXN042887,1/1/2024,C00719,P0011,BR05,Partner,4,153.96,20,615.84,492.67,444.04,48.63,Paid,No Campaign,FALSE,Compact Football,Sports & Outdoors,158.63,111.01,30.02,Active,Corporate,Budget,Sales Team,1/1/2024,Urban,Small (1-10),business_size,No Campaign,,,No offer,,2024,1,2024-01,16-20%,0,9.87
TXN037301,1/1/2024,C01142,P0006,BR06,Dealer,4,44.18,32.25,176.72,119.73,102.84,16.89,Paid,No Campaign,FALSE,Smart Herbal Tea Box,Food & Beverage,46.21,25.71,44.36,Active,Individual,New,Online,5/24/2023,Urban,26-35,age_band,No Campaign,,,No offer,,2024,1,2024-01,20%+,222,14.11
TXN002082,1/1/2024,C00472,P0013,BR03,Online,2,649.42,5,1298.84,1233.9,616.82,617.08,Paid,No Campaign,FALSE,Lite Webcam,Electronics,626.95,308.41,50.81,Active,Individual,New,Walk-in,3/8/2022,Urban,26-35,age_band,No Campaign,,,No offer,,2024,1,2024-01,1-5%,664,50.01
TXN018688,1/1/2024,C01810,P0044,BR08,Direct Sales,4,45.19,10,180.76,162.68,129.64,33.04,Paid,No Campaign,FALSE,Lite Denim Jacket,Apparel,44.35,32.41,26.92,Active,Individual,New,Referral,1/1/2024,Urban,36-45,age_band,No Campaign,,,No offer,,2024,1,2024-01,6-10%,0,20.31
TXN022805,1/1/2024,C01258,P0006,BR05,Online,2,47.5,15,95,80.75,51.42,29.33,Paid,No Campaign,FALSE,Smart Herbal Tea Box,Food & Beverage,46.21,25.71,44.36,Active,Individual,Standard,Online,1/1/2024,Urban,46-55,age_band,No Campaign,,,No offer,,2024,1,2024-01,11-15%,0,36.32
TXN018515,1/1/2024,C01537,P0082,BR06,Direct Sales,2,103.59,15,207.18,176.1,132.48,43.62,Paid,No Campaign,FALSE,Basic Hair Serum,Beauty & Personal Care,102.58,66.24,35.43,Active,SME,New,Online,1/1/2024,Suburban,Medium (11-50),business_size,No Campaign,,,No offer,,2024,1,2024-01,11-15%,0,24.77
TXN034038,1/1/2024,C00624,P0023,BR06,Dealer,3,64.5,10,193.5,174.15,116.76,57.39,Paid,No Campaign,FALSE,Lite Trekking Pole,Sports & Outdoors,64.83,38.92,39.97,Active,Individual,Budget,Walk-in,5/20/2023,Other,26-35,age_band,No Campaign,,,No offer,,2024,1,2024-01,6-10%,226,32.95
TXN002481,1/1/2024,C00036,P0099,BR02,Online,5,243.42,15,1217.1,1034.53,791.85,242.68,Overdue,No Campaign,FALSE,Pro Cutlery Set,Home & Living,241.48,158.37,34.42,Active,SME,Budget,Sales Team,1/1/2024,Urban,Large (51-200),business_size,No Campaign,,,No offer,,2024,1,2024-01,11-15%,0,23.46
TXN035714,1/1/2024,C00079,P0006,BR03,Partner,1,44.15,0,44.15,44.15,25.71,18.44,Paid,No Campaign,FALSE,Smart Herbal Tea Box,Food & Beverage,46.21,25.71,44.36,Active,SME,New,Online,1/1/2024,Suburban,Enterprise (200+),business_size,No Campaign,,,No offer,,2024,1,2024-01,0%,0,41.77
TXN043940,1/1/2024,C01235,P0055,BR01,Partner,3,153.44,15,460.32,391.27,223.17,168.1,Paid,No Campaign,FALSE,Deluxe Laptop Stand,Electronics,152.71,74.39,51.29,Active,Individual,Standard,Sales Team,10/3/2023,Suburban,18-25,age_band,No Campaign,,,No offer,,2024,1,2024-01,11-15%,90,42.96
TXN028617,1/1/2024,C00874,P0018,BR02,Dealer,5,4.97,15,24.85,21.12,13.85,7.27,Overdue,No Campaign,FALSE,Plus Cookie Box,Food & Beverage,4.76,2.77,41.81,Active,Individual,Standard,Walk-in,7/21/2023,Urban,26-35,age_band,No Campaign,,,No offer,,2024,1,2024-01,11-15%,164,34.42
TXN041138,1/1/2024,C01529,P0070,BR01,Dealer,2,40.75,5,81.5,77.42,50,27.42,Paid,No Campaign,FALSE,Deluxe Deodorant,Beauty & Personal Care,41.57,25,39.86,Active,SME,Standard,Referral,1/1/2024,Suburban,Medium (11-50),business_size,No Campaign,,,No offer,,2024,1,2024-01,1-5%,0,35.42
TXN028592,1/1/2024,C00614,P0075,BR02,Direct Sales,6,383.72,0,2302.32,2302.32,1624.86,677.46,Partially Paid,No Campaign,FALSE,Advanced Cutlery Set,Home & Living,392.13,270.81,30.94,Active,Individual,Standard,Referral,2/2/2022,Suburban,46-55,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,698,29.43
TXN015257,1/1/2024,C01093,P0020,BR05,Branch,5,50.85,10,254.25,228.82,161.15,67.67,Paid,No Campaign,FALSE,Everyday Denim Jacket,Apparel,49.69,32.23,35.14,Active,Individual,Budget,Walk-in,9/18/2022,Suburban,36-45,age_band,No Campaign,,,No offer,,2024,1,2024-01,6-10%,470,29.57
TXN009151,1/1/2024,C00622,P0006,BR04,Online,2,45.11,0,90.22,90.22,51.42,38.8,Paid,No Campaign,FALSE,Smart Herbal Tea Box,Food & Beverage,46.21,25.71,44.36,Active,Individual,Premium,Referral,1/1/2024,Suburban,26-35,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,0,43.01
TXN040587,1/1/2024,C00878,P0020,BR06,Direct Sales,1,49.53,20,49.53,39.62,32.23,7.39,Paid,No Campaign,FALSE,Everyday Denim Jacket,Apparel,49.69,32.23,35.14,Active,Individual,Standard,Walk-in,1/1/2024,Urban,18-25,age_band,No Campaign,,,No offer,,2024,1,2024-01,16-20%,0,18.65
TXN015063,1/1/2024,C00183,P0010,BR07,Branch,6,20.01,0,120.06,120.06,70.92,49.14,Paid,No Campaign,FALSE,Plus Body Lotion,Beauty & Personal Care,19.94,11.82,40.72,Active,Corporate,New,Online,1/1/2024,Urban,Large (51-200),business_size,No Campaign,,,No offer,,2024,1,2024-01,0%,0,40.93
TXN003622,1/1/2024,C01807,P0088,BR01,Online,6,71.14,10,426.84,384.16,209.16,175,Paid,No Campaign,FALSE,Signature Lip Balm Set,Beauty & Personal Care,72.86,34.86,52.15,Active,Individual,Standard,Online,1/1/2024,Urban,46-55,age_band,No Campaign,,,No offer,,2024,1,2024-01,6-10%,0,45.55
TXN015843,1/1/2024,C01274,P0078,BR05,Branch,2,18.44,0,36.88,36.88,17.9,18.98,Paid,No Campaign,FALSE,Prime Fruit Preserve Jar,Food & Beverage,18.19,8.95,50.8,Active,Individual,Standard,Sales Team,5/14/2022,Urban,18-25,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,597,51.46
TXN026817,1/1/2024,C01635,P0015,BR02,Direct Sales,3,190.98,5,572.94,544.29,356.88,187.41,Overdue,No Campaign,FALSE,Lite Ceramic Mug Set,Home & Living,191.68,118.96,37.94,Active,Corporate,New,Online,1/1/2024,Urban,Medium (11-50),business_size,No Campaign,,,No offer,,2024,1,2024-01,1-5%,0,34.43
TXN047579,1/1/2024,C01953,P0020,BR05,Dealer,3,49.95,37.18,149.85,94.14,96.69,-2.55,Paid,No Campaign,FALSE,Everyday Denim Jacket,Apparel,49.69,32.23,35.14,Active,Individual,Premium,Online,9/2/2023,Urban,18-25,age_band,No Campaign,,,No offer,,2024,1,2024-01,20%+,121,-2.71
TXN015891,1/1/2024,C01852,P0082,BR02,Online,4,103.97,20,415.88,332.7,264.96,67.74,Paid,No Campaign,FALSE,Basic Hair Serum,Beauty & Personal Care,102.58,66.24,35.43,Active,Individual,Budget,Walk-in,10/25/2023,Urban,26-35,age_band,No Campaign,,,No offer,,2024,1,2024-01,16-20%,68,20.36
TXN009127,1/1/2024,C01803,P0020,BR08,Branch,2,51.02,5,102.04,96.94,64.46,32.48,Paid,No Campaign,FALSE,Everyday Denim Jacket,Apparel,49.69,32.23,35.14,Active,Corporate,New,Referral,1/1/2022,Urban,Medium (11-50),business_size,No Campaign,,,No offer,,2024,1,2024-01,1-5%,730,33.51
TXN003719,1/1/2024,C01422,P0083,BR03,Partner,2,233.43,0,466.86,466.86,241.6,225.26,Paid,No Campaign,FALSE,Advanced Water Bottle,Sports & Outdoors,225.19,120.8,46.36,Active,Individual,Premium,Online,8/27/2022,Suburban,36-45,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,492,48.25
TXN044425,1/2/2024,C00246,P0011,BR01,Branch,3,161.39,20,484.17,387.34,333.03,54.31,Paid,No Campaign,FALSE,Compact Football,Sports & Outdoors,158.63,111.01,30.02,Active,SME,Standard,Sales Team,1/17/2023,Suburban,Medium (11-50),business_size,No Campaign,,,No offer,,2024,1,2024-01,16-20%,350,14.02
TXN010505,1/2/2024,C01253,P0099,BR02,Online,2,230.15,0,460.3,460.3,316.74,143.56,Paid,No Campaign,FALSE,Pro Cutlery Set,Home & Living,241.48,158.37,34.42,Active,Individual,Standard,Walk-in,1/2/2024,Suburban,36-45,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,0,31.19
TXN035593,1/2/2024,C00471,P0020,BR04,Online,3,47.89,0,143.67,143.67,96.69,46.98,Paid,No Campaign,FALSE,Everyday Denim Jacket,Apparel,49.69,32.23,35.14,Active,Individual,Premium,Referral,8/3/2022,Urban,56-65,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,517,32.7
TXN015066,1/2/2024,C01794,P0020,BR05,Online,4,52.08,5,208.32,197.9,128.92,68.98,Paid,No Campaign,FALSE,Everyday Denim Jacket,Apparel,49.69,32.23,35.14,Active,Individual,Standard,Walk-in,12/28/2022,Other,18-25,age_band,No Campaign,,,No offer,,2024,1,2024-01,1-5%,370,34.86
TXN002314,1/2/2024,C00030,P0082,BR02,Branch,2,100.66,5,201.32,191.25,132.48,58.77,Paid,No Campaign,FALSE,Basic Hair Serum,Beauty & Personal Care,102.58,66.24,35.43,Active,SME,Standard,Online,1/2/2024,Urban,Enterprise (200+),business_size,No Campaign,,,No offer,,2024,1,2024-01,1-5%,0,30.73
TXN042735,1/2/2024,C01443,P0018,BR06,Direct Sales,3,4.84,10,14.52,13.07,8.31,4.76,Paid,No Campaign,FALSE,Plus Cookie Box,Food & Beverage,4.76,2.77,41.81,Active,Individual,Budget,Online,1/2/2024,Suburban,36-45,age_band,No Campaign,,,No offer,,2024,1,2024-01,6-10%,0,36.42
TXN002238,1/2/2024,C01698,P0088,BR01,Online,2,70.47,29.81,140.94,98.93,69.72,29.21,Paid,No Campaign,FALSE,Signature Lip Balm Set,Beauty & Personal Care,72.86,34.86,52.15,Active,Individual,Standard,Sales Team,4/2/2023,Suburban,36-45,age_band,No Campaign,,,No offer,,2024,1,2024-01,20%+,275,29.53
TXN033614,1/2/2024,C01777,P0082,BR02,Direct Sales,5,100.55,5,502.75,477.61,331.2,146.41,Paid,No Campaign,FALSE,Basic Hair Serum,Beauty & Personal Care,102.58,66.24,35.43,Active,SME,Standard,Referral,6/16/2022,Urban,Large (51-200),business_size,No Campaign,,,No offer,,2024,1,2024-01,1-5%,565,30.65
TXN010528,1/2/2024,C01524,P0020,BR03,Branch,1,49.91,15,49.91,42.42,32.23,10.19,Paid,No Campaign,FALSE,Everyday Denim Jacket,Apparel,49.69,32.23,35.14,Active,Individual,Premium,Walk-in,1/2/2024,Suburban,36-45,age_band,No Campaign,,,No offer,,2024,1,2024-01,11-15%,0,24.02
TXN008889,1/2/2024,C00637,P0088,BR01,Online,3,70.95,15,212.85,180.92,104.58,76.34,Paid,No Campaign,FALSE,Signature Lip Balm Set,Beauty & Personal Care,72.86,34.86,52.15,Active,Individual,Budget,Online,1/2/2024,Urban,18-25,age_band,No Campaign,,,No offer,,2024,1,2024-01,11-15%,0,42.2
TXN031274,1/2/2024,C01284,P0069,BR02,Dealer,1,36.96,15,36.96,31.42,22.3,9.12,Pending,No Campaign,FALSE,Compact Cutlery Set,Home & Living,35.55,22.3,37.27,Active,SME,Standard,Referral,8/3/2022,Suburban,Medium (11-50),business_size,No Campaign,,,No offer,,2024,1,2024-01,11-15%,517,29.03
TXN044544,1/2/2024,C01052,P0086,BR07,Online,3,27.35,0,82.05,82.05,60.87,21.18,Paid,No Campaign,FALSE,Basic Denim Jacket,Apparel,27.51,20.29,26.25,Active,Individual,Standard,Referral,10/9/2022,Urban,56-65,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,450,25.81
TXN048415,1/2/2024,C00712,P0029,BR04,Direct Sales,3,110.34,0,331.02,331.02,324.96,6.06,Paid,No Campaign,FALSE,Lite Cycling Gloves,Sports & Outdoors,114.03,108.32,5.01,Active,Individual,Premium,Online,12/27/2022,Urban,36-45,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,371,1.83
TXN003665,1/2/2024,C01962,P0096,BR06,Direct Sales,4,33.27,23.19,133.08,102.22,100.92,1.3,Paid,No Campaign,FALSE,Advanced Granola Mix,Food & Beverage,34.52,25.23,26.91,Active,Individual,Standard,Sales Team,1/2/2024,Suburban,36-45,age_band,No Campaign,,,No offer,,2024,1,2024-01,20%+,0,1.27
TXN022949,1/2/2024,C01391,P0019,BR04,Dealer,2,739.87,0,1479.74,1479.74,805.16,674.58,Overdue,No Campaign,FALSE,Pro Webcam,Electronics,773.93,402.58,47.98,Active,Individual,Budget,Walk-in,1/2/2024,Suburban,46-55,age_band,No Campaign,,,No offer,,2024,1,2024-01,0%,0,45.59
TXN044856,1/2/2024,C00497,P0017,BR01,Direct Sales,3,218.9,15,656.7,558.2,417.33,140.87,Pending,No Campaign,FALSE,Everyday Yoga Mat,Sports & Outdoors,225.8,139.11,38.39,Active,Corporate,Standard,Online,12/3/2023,Suburban,Medium (11-50),business_size,No Campaign,,,No offer,,2024,1,2024-01,11-15%,30,25.24
TXN041326,1/2/2024,C01851,P0096,BR02,Direct Sales,4,34.86,0,139.44,139.44,100.92,38.52,Overdue,No Campaign,FALSE,Advanced Granola Mix,Food & Beverage,34.52,25.23,26.91,Active,SME,Standard,Referral,8/18/2023,Other,Small (1-10),business_size,No Campaign,,,No offer,,2024,1,2024-01,0%,137,27.62
TXN011316,1/2/2024,C00190,P0032,BR03,Direct Sales,4,14.27,0,57.08,57.08,33.28,23.8,Paid,No Campaign,FALSE,Essential Denim Jacket,Apparel,13.91,8.32,40.19,Active,SME,Premium,Online,1/2/2024,Urban,Large (51-200),business_size,No Campaign,,,No offer,,2024,1,2024-01,0%,0,41.7
TXN013173,1/2/2024,C01161,P0032,BR04,Dealer,3,13.34,20,40.02,32.02,24.96,7.06,Paid,No Campaign,FALSE,Essential Denim Jacket,Apparel,13.91,8.32,40.19,Active,SME,Budget,Sales Team,1/2/2024,Other,Large (51-200),business_size,No Campaign,,,No offer,,2024,1,2024-01,16-20%,0,22.05
TXN011037,1/2/2024,C01219,P0006,BR03,Branch,4,46.74,0,186.96,186.96,102.84,84.12,Paid,No Campaign,FALSE,Smart Herbal Tea Box,Food & Beverage,46.21,25.71,44.36,Active,Corporate,Standard,Referral,3/27/2023,Urban,Medium (11-50),business_size,No Campaign,,,No offer,,2024,1,2024-01,0%,281,44.99
TXN040951,1/2/2024,C01058,P0006,BR01,Online,2,46.21,15,92.42,78.56,51.42,27.14,Paid,No Campaign,FALSE,Smart Herbal Tea Box,Food & Beverage,46.21,25.71,44.36,Active,Individual,Standard,Online,1/28/2022,Urban,56-65,age_band,No Campaign,,,No offer,,2024,1,2024-01,11-15%,704,34.55
TXN043029,1/2/2024,C00199,P0009,BR01,Branch,1,147.41,5,147.41,140.04,78.81,61.23,Paid,No Campaign,FALSE,Prime Ceramic Mug Set,Home & Living,140.44,78.81,43.88,Active,Individual,Standard,Online,4/8/2022,Other,46-55,age_band,No Campaign,,,No offer,,2024,1,2024-01,1-5%,634,43.72
